"EventId","EventTemplate","Occurrences"
"E23","('ide1:', 'BM-DMA', 'at', '0xffa8-0xffaf,', 'BIOS', 'settings:', 'hdc:', 'DMA,', 'hdd:', 'pio')","12"
"E24","('hda:', '<*>', 'sectors', '<*>', 'MB)', '<*>', 'Cache,', 'CHS=', '<*>', 'UDMA(66)')","12"
"E25","('parport0:', 'PC-style', 'at', '<*>', '<*>', '[PCSPP,', 'TRISTATE,', 'COMPAT,', 'EPP,', 'ECP]')","12"
"E26","('<*>', 'byte-wide', 'RAM', '<*>', '<*>', 'Rx:', 'Tx', 'split,', 'autoselect/Autonegotiate', 'interface.')","12"
"E27","('hda:', 'hda1', 'hda2', '<', 'hda5', 'hda6', 'hda7', 'hda8', 'hda9', '>')","12"
"E28","('PCI:', 'Setting', 'latency', 'timer', 'of', 'device', '<*>', '<*>', 'to', '<*>')","12"
"E29","('Setting', 'clock', '(localtime):', '<*>', '<*>', '<*>', '<*>', 'EDT', '<*>', 'succeeded')","12"
"E30","('/var:', 'Inode', '<*>', 'i_blocks', 'is', '<*>', 'should', 'be', '<*>', 'FIXED.')","22"
"E31","('Turning', 'on', 'user', 'and', 'group', 'quotas', 'for', 'local', 'filesystems:', 'succeeded')","12"
"E32","('FTP', 'session', 'closed')","3775"
"E33","('syslogd', 'startup', 'succeeded')","12"
"E34","('zone(2):', '<*>', 'pages.')","12"
"E35","('autofs', 'startup', 'succeeded')","12"
"E36","('anacron', 'startup', 'succeeded')","12"
"E37","('klogd', 'startup', 'succeeded')","12"
"E38","('xinetd', 'startup', 'succeeded')","12"
"E39","('xinetd', 'shutdown', 'succeeded')","7"
"E40","('klogd', 'shutdown', 'succeeded')","7"
"E41","('portmap', 'startup', 'succeeded')","12"
"E42","('rpc.statd', 'startup', 'succeeded')","12"
"E43","('apmd', 'startup', 'succeeded')","12"
"E44","('atd', 'startup', 'succeeded')","12"
"E45","('sendmail', 'startup', 'succeeded')","12"
"E46","('gpm', 'startup', 'succeeded')","12"
"E47","('crond', 'startup', 'succeeded')","12"
"E48","('xfs', 'startup', 'succeeded')","12"
"E49","('named', 'startup', 'succeeded')","12"
"E50","('snmpd', 'startup', 'succeeded')","12"
"E51","('smbd', 'startup', 'succeeded')","12"
"E52","('nmbd', 'startup', 'succeeded')","12"
"E53","('identd', 'startup', 'succeeded')","12"
"E54","('xfs', 'shutdown', 'succeeded')","7"
"E55","('gpm', 'shutdown', 'succeeded')","7"
"E56","('sendmail', 'shutdown', 'succeeded')","7"
"E57","('smbd', 'shutdown', 'succeeded')","7"
"E58","('nmbd', 'shutdown', 'succeeded')","7"
"E59","('named', 'shutdown', 'succeeded')","7"
"E60","('snmpd', 'shutdown', 'succeeded')","6"
"E61","('atd', 'shutdown', 'succeeded')","7"
"E62","('crond', 'shutdown', 'succeeded')","7"
"E63","('identd', 'shutdown', 'succeeded')","7"
"E64","('apmd', 'shutdown', 'succeeded')","7"
"E65","('rpc.statd', 'shutdown', 'succeeded')","7"
"E66","('portmap', 'shutdown', 'succeeded')","7"
"E67","('snmpd', 'shutdown', 'failed')","1"
"E68","('zone(0):', '<*>', '<*>')","12"
"E69","('zone(1):', '<*>', '<*>')","12"
"E70","('Version', '<*>', '<*>')","12"
"E71","('<*>', 'kswapd', '<*>')","12"
"E72","('Partition', 'check:', '<*>')","12"
"E73","('Entering', 'runlevel:', '<*>')","12"
"E74","('Updating', '/etc/fstab', '<*>')","12"
"E75","('using', '<*>', '<*>')","12"
"E76","('Loading', 'keymap:', '')","12"
"E77","('Starting', 'keytable:', 'succeeded')","12"
"E78","('Starting', 'sshd:', '')","12"
"E79","('Starting', 'sshd:', 'succeeded')","12"
"E80","('autodetecting', 'RAID', 'arrays')","12"
"E81","('...', 'autorun', 'DONE.')","12"
"E82","('options', 'compiled', 'in.')","12"
"E83","('net.ipv4.ip_forward', '=', '<*>')","24"
"E84","('net.ipv4.conf.all.rp_filter', '=', '<*>')","24"
"E85","('kernel.sysrq', '=', '<*>')","24"
"E86","('Checking', 'filesystems', 'succeeded')","12"
"E87","('<*>', 'disabled,', 'removing')","216"
"E88","('httpd', 'startup', 'succeeded')","16"
"E89","('httpd', 'shutdown', 'succeeded')","9"
"E90","('httpd', 'shutdown', 'failed')","1"
"E91","('ntpd', 'startup', 'succeeded')","12"
"E92","('ntpd', 'shutdown', 'succeeded')","7"
"E93","('UCD-SNMP', 'version', '<*>')","10"
"E94","('Stopping', 'keytable:', 'succeeded')","7"
"E95","('Stopping', 'squid:', '')","7"
"E96","('Stopping', 'squid:', 'succeeded')","7"
"E97","('sshd', '-TERM', 'succeeded')","7"
"E98","('automount', '-USR2', 'succeeded')","7"
"E99","('<*>', 'records', 'in')","7"
"E100","('<*>', 'records', 'out')","7"
"E101","('cdrom:', 'open', 'failed.')","8"
"E102","('Process', 'accounting', 'paused')","1"
"E103","('Process', 'accounting', 'resumed')","1"
"E104","('Creating', 'directory:', '/var/agentx')","4"
"E105","('Creating', 'directory:', '/var/ucd-snmp')","1"
"E106","('bad', 'username', '[`]')","1"
"E107","('bad', 'username', '[]')","1"
"E108","('session', 'opened', 'for', 'user', 'tguy', 'by', 'LOGIN(uid=', '<*>')","9"
"E109","('session', 'opened', 'for', 'user', 'root', 'by', 'LOGIN(uid=', '<*>')","6"
"E110","('session', 'opened', 'for', 'user', 'root', 'by', 'tguy(uid=', '<*>')","7"
"E111","('session', 'opened', 'for', 'user', 'tguy', 'by', '(uid=', '<*>')","1"
"E112","('session', 'opened', 'for', 'user', 'guest', 'by', 'tguy(uid=', '<*>')","2"
"E113","('CPU:', 'After', 'generic,', 'caps:', '<*>', '<*>', '<*>', '<*>')","12"
"E114","('PCI:', 'Found', 'IRQ', '<*>', 'for', 'device', '<*>', '<*>')","24"
"E115","('TCP:', 'Hash', 'tables', 'configured', '(established', '<*>', 'bind', '<*>')","12"
"E116","('NET4:', 'Unix', 'domain', 'sockets', '1.0/SMP', 'for', 'Linux', 'NET4.0.')","12"
"E117","('Version', '3.0final', '(APM', 'BIOS', '<*>', 'Linux', 'driver', '<*>')","12"
"E118","('usb-uhci.c:', 'USB', 'UHCI', 'at', 'I/O', '<*>', 'IRQ', '<*>')","12"
"E119","('MII', 'transceiver', 'found', 'at', 'address', '<*>', 'status', '<*>')","12"
"E120","('Failed', 'to', 'contact', 'identity', 'server', 'at', '<*>', 'timeout')","22"
"E121","('read:', 'Connection', 'reset', 'by', 'peer', '(errno', '=', '<*>')","4"
"E122","('request_thread:', 'fd', '<*>', 'input', 'buffer', 'full:', 'closing', 'down')","4"
"E123","('ACB8E9F2.ipt.aol.com:', 'connected:', '<*>', 'failed', 'login', 'from', 'ACB8E9F2.ipt.aol.com', '<*>')","368"
"E124","('LOGIN', 'ON', 'tty1', 'BY', 'tguy')","5"
"E125","('LOGIN', 'ON', 'tty2', 'BY', 'tguy')","4"
"E126","('session', 'closed', 'for', 'user', 'tguy')","9"
"E127","('session', 'closed', 'for', 'user', 'root')","9"
"E128","('session', 'closed', 'for', 'user', 'guest')","2"
"E129","('Loaded', '<*>', 'symbols', 'from', '/boot/System.map-2.4.2-2.')","12"
"E130","('PCI:', 'Using', 'configuration', 'type', '<*>')","12"
"E131","('Symbols', 'match', '<*>', '<*>', '<*>')","12"
"E132","('VFS:', 'Diskquotas', '<*>', '<*>', 'initialized')","12"
"E133","('isapnp:', 'Scanning', '<*>', '<*>', 'cards...')","12"
"E134","('<*>', '<*>', '<*>', '<*>', '<*>')","12"
"E135","('usb-uhci.c:', 'High', '<*>', '<*>', 'enabled')","12"
"E136","('BIOS-provided', 'physical', '<*>', 'map:', '')","12"
"E137","('On', 'node', '<*>', 'totalpages:', '<*>')","12"
"E138","('POSIX', 'conformance', '<*>', 'by', 'UNIFIX')","12"
"E139","('mtrr:', 'detected', '<*>', 'type:', 'Intel')","12"
"E140","('hda:', '<*>', '<*>', 'DISK', 'drive')","12"
"E141","('Floppy', 'drive(s):', '<*>', 'is', '<*>')","12"
"E142","('xinetd', 'Version', '<*>', 'started', 'with')","12"
"E143","('starting', 'BIND', '<*>', '-u', 'named')","12"
"E144","('<*>', '<*>', '@', '<*>', '(usable)')","24"
"E145","('<*>', '<*>', '@', '<*>', '(reserved)')","48"
"E146","('Calibrating', 'delay', 'loop...', '<*>', 'BogoMIPS')","12"
"E147","('pty:', '<*>', '<*>', 'ptys', 'configured')","12"
"E148","('Real', 'Time', 'Clock', 'Driver', '<*>')","12"
"E149","('ip_conntrack', '<*>', 'buckets,', '<*>', 'max)')","12"
"E150","('Started', 'working:', '<*>', 'available', 'services')","12"
"E151","('Intel', 'machine', 'check', 'architecture', 'supported.')","12"
"E152","('Bringing', 'up', 'interface', 'lo:', 'succeeded')","12"
"E153","('Bringing', 'up', 'interface', 'eth0:', 'succeeded')","12"
"E154","('usb.c:', 'registered', 'new', 'driver', 'usbdevfs')","12"
"E155","('usb.c:', 'registered', 'new', 'driver', 'hub')","12"
"E156","('<*>', '<*>', 'number', 'generator:', 'succeeded')","12"
"E157","('<*>', '<*>', 'is', '<*>', 'bytes')","12"
"E158","('<*>', '<*>', 'font', '(lat0-sun16):', 'succeeded')","12"
"E159","('<*>', '<*>', 'process', 'accounting', 'succeeded')","12"
"E160","('Initializing', 'USB', 'controller', '(usb-uhci):', 'succeeded')","12"
"E161","('using', 'kernel', 'protocol', 'version', '<*>')","12"
"E162","('using', 'kernel', 'phase-lock', 'loop', '<*>')","18"
"E163","('frequency', 'initialized', '<*>', 'from', '/etc/ntp/drift')","7"
"E164","('shutting', 'down,', 'path', '=', '/misc')","7"
"E165","('ntpd', 'exiting', 'on', 'signal', '<*>')","7"
"E166","('ttloop:', 'read:', 'Connection', 'timed', 'out')","70"
"E167","('lost', 'connection', 'to', '<*>', '<*>')","163"
"E168","('no', 'longer', 'listening', 'on', '<*>')","168"
"E169","('hda:', 'timeout', 'waiting', 'for', 'DMA')","3"
"E170","('Received', 'SNMP', 'packet(s)', 'from', '<*>')","1"
"E171","('Uniform', 'CD-ROM', 'driver', 'Revision:', '<*>')","1"
"E172","('SCSI', 'subsystem', 'driver', 'Revision:', '<*>')","1"
"E173","('<*>', '<*>', 'log', 'source', '<*>', '/proc/kmsg', 'started.')","12"
"E174","('<*>', 'unmasked', 'SIMD', 'FPU', '<*>', 'support...', 'done.')","12"
"E175","('<*>', 'No', 'Plug', '&', '<*>', 'device', 'found')","12"
"E176","('<*>', '<*>', 'is', 'a', '<*>', 'Semiconductor', '<*>')","12"
"E177","('<*>', 'IP', 'multicast', 'router', '<*>', 'plus', 'PIM-SM')","12"
"E178","('<*>', 'using', 'NWAY', 'device', '<*>', 'not', '<*>')","12"
"E179","('<*>', 'root', 'filesystem', 'in', '<*>', 'mode:', 'succeeded')","12"
"E180","('zone', 'DMA', 'has', 'max', '<*>', 'cached', 'pages.')","12"
"E181","('zone', 'Normal', 'has', 'max', '<*>', 'cached', 'pages.')","12"
"E182","('zone', 'HighMem', 'has', 'max', '<*>', 'cached', 'pages.')","12"
"E183","('Intel', 'machine', 'check', 'reporting', 'enabled', 'on', 'CPU#0.')","12"
"E184","('CPU:', 'Common', 'caps:', '<*>', '<*>', '<*>', '<*>')","12"
"E185","('Enabling', 'fast', 'FPU', 'save', 'and', 'restore...', 'done.')","12"
"E186","('ide1', 'at', '<*>', '<*>', 'on', 'irq', '<*>')","12"
"E187","('CPU:', 'Intel', 'Pentium', 'III', '(Coppermine)', 'stepping', '<*>')","12"
"E188","('hdc:', 'SAMSUNG', 'CD-ROM', '<*>', 'ATAPI', 'CD/DVD-ROM', 'drive')","12"
"E189","('md', 'driver', '<*>', 'MAX_MD_DEVS=', '<*>', 'MD_SB_DISKS=', '<*>')","12"
"E190","('Based', 'upon', 'Swansea', 'University', 'Computer', 'Society', '<*>')","12"
"E191","('product', 'code', '<*>', 'rev', '<*>', 'date', '<*>')","12"
"E192","('ide0', 'at', '<*>', '<*>', 'on', 'irq', '<*>')","12"
"E193","('<*>', 'was', 'not', 'cleanly', 'unmounted,', 'check', 'forced.')","20"
"E194","('<*>', '<*>', 'files', '<*>', 'non-contiguous),', '<*>', 'blocks')","18"
"E195","('listening', 'on', 'IPv4', 'interface', 'eth0:', '<*>', '<*>')","264"
"E196","('getpeername', '(in.ftpd):', 'Transport', 'endpoint', 'is', 'not', 'connected')","156"
"E197","('Received', 'TERM', 'or', 'STOP', 'signal...', 'shutting', 'down...')","6"
"E198","('[smux_accept]', 'accepted', 'fd', '<*>', 'from', '<*>', '<*>')","1"
"E199","('hdc:', 'ATAPI', '<*>', 'CD-ROM', 'drive,', '<*>', 'Cache')","1"
"E200","('service(login)', 'ignoring', 'max', 'retries;', '<*>', '>', '<*>')","1"
"E201","('/var:', '<*>', 'files', '<*>', 'non-contiguous),', '<*>', 'blocks')","1"
"E202","('/home:', '<*>', 'files', '<*>', 'non-contiguous),', '<*>', 'blocks')","1"
"E203","('ide_dmaproc:', 'chipset', 'supported', 'ide_dma_timeout', 'func', 'only:', '<*>')","3"
"E204","('ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', '<*>', 'anonymous')","2"
"E205","('ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', '<*>', 'mozilla@')","1"
"E206","('tty1:', 'invalid', 'character', '^[', 'in', 'login', 'name')","2"
"E207","('hdc:', 'Disabling', '(U)DMA', 'for', 'SAMSUNG', 'CD-ROM', '<*>')","1"
"E208","('LOGIN', 'ON', 'pts/0', 'BY', 'tguy', 'FROM', '<*>')","1"
"E209","('Inspecting', '/boot/System.map-2.4.2-2')","12"
"E210","('autorun', '...')","12"
"E211","('See', 'Documentation/networking/vortex.txt')","12"
"E212","('Initializing', 'CPU#0')","12"
"E213","('/var:', '')","14"
"E214","('/home:', '')","4"
"E215","('shutting', 'down')","7"
"E216","('Loaded', '<*>', 'symbols', 'from', '<*>', 'modules.')","12"
"E217","('<*>', '<*>', '<*>', 'Richard', 'Gooch', '(rgooch@atnf.csiro.au)')","12"
"E218","('<*>', 'Mounted', 'root', '(ext2', 'filesystem)', 'readonly.')","12"
"E219","('<*>', 'unused', 'kernel', 'memory:', '<*>', 'freed')","12"
"E220","('<*>', 'scatter/gather', 'disabled.', 'h/w', 'checksums', 'enabled')","12"
"E221","('Uniform', 'Multi-Platform', 'E-IDE', 'driver', 'Revision:', '<*>')","12"
"E222","('NET4:', 'Linux', 'TCP/IP', '<*>', 'for', '<*>')","12"
"E223","('Enabling', 'bus-master', 'transmits', 'and', 'whole-frame', 'receives.')","12"
"E224","('IP', 'Protocols:', 'ICMP,', 'UDP,', 'TCP,', 'IGMP')","12"
"E225","('Adding', 'Swap:', '<*>', 'swap-space', '(priority', '<*>')","12"
"E226","('Charge:', '*', '*', '*', '(-1%', 'unknown)')","12"
"E227","('Tue', 'Oct', '<*>', '<*>', 'EDT', '<*>')","1"
"E228","('Wed', '<*>', '<*>', '<*>', 'EDT', '<*>')","1"
"E229","('Tue', '<*>', '<*>', '<*>', 'EDT', '<*>')","1"
"E230","('Tue', 'Sep', '<*>', '<*>', 'EDT', '<*>')","2"
"E231","('Squid', 'Parent:', 'child', 'process', '<*>', 'started')","12"
"E232","('listening', 'on', 'IPv4', 'interface', 'lo,', '<*>')","12"
"E233","('listening', 'on', 'IPv4', 'interface', 'eth0,', '<*>')","12"
"E234","('...multicast', 'address', '<*>', 'using', 'wildcard', 'socket')","6"
"E235","('ttloop:', 'read:', 'Connection', 'reset', 'by', 'peer')","236"
"E236","('Caught', 'signal', '<*>', 'un-registering', 'and', 'exiting.')","7"
"E237","('Fri', '<*>', '<*>', '<*>', 'EDT', '<*>')","1"
"E238","('Mon', 'May', '<*>', '<*>', 'EDT', '<*>')","2"
"E239","('Wed', 'Apr', '<*>', '<*>', 'EDT', '<*>')","1"
"E240","('<*>', 'clean,', '<*>', 'files,', '<*>', 'blocks')","40"
"E241","('transfer', 'interrupted', '(code', '<*>', 'at', '<*>')","2"
"E242","('Mon', '<*>', '<*>', '<*>', 'EDT', '<*>')","1"
"E243","('ACB8E9F2.ipt.aol.com:', 'connected:', '<*>', 'FTP', 'session', 'closed')","368"
"E244","('new', 'group:', 'name=', 'test,', 'gid=', '<*>')","1"
"E245","('Fri', 'Apr', '<*>', '<*>', 'EDT', '<*>')","1"
"E246","('new', 'group:', 'name=', 'guest,', 'gid=', '<*>')","1"
"E247","('Tue', 'Aug', '<*>', '<*>', 'EDT', '<*>')","1"
"E248","('Linux', 'version', '<*>', '(root@porky.devel.redhat.com)', '(gcc', 'version', '<*>', '<*>', '(Red', 'Hat', 'Linux', '<*>', '<*>', '<*>', 'Sun', 'Apr', '<*>', '<*>', 'EDT', '<*>')","12"
"E249","('Kernel', 'command', 'line:', 'auto', 'BOOT_IMAGE=', 'linux', 'ro', 'root=', '<*>', 'BOOT_FILE=', '/boot/vmlinuz-2.4.2-2')","12"
"E250","('<*>', '<*>', '<*>', '<*>', '<*>', 'Donald', 'Becker', 'and', 'others.', 'http:', '//www.scyld.com/network/vortex.html')","12"
"E251","('CPU:', 'Before', 'vendor', 'init,', 'caps:', '<*>', '<*>', '<*>', 'vendor', '=', '<*>')","12"
"E252","('PCI:', 'PCI', 'BIOS', 'revision', '<*>', 'entry', 'at', '0xfc0ce,', 'last', 'bus=', '<*>')","12"
"E253","('RAMDISK', 'driver', 'initialized:', '<*>', 'RAM', 'disks', 'of', '<*>', 'size', '<*>', 'blocksize')","12"
"E254","('Detected', '<*>', 'MHz', 'processor.')","12"
"E255","('CPU:', '<*>', 'cache:', '<*>')","12"
"E256","('Checking', '<*>', 'instruction...', 'OK.')","12"
"E257","('Initializing', '<*>', 'netlink', 'socket')","12"
"E258","('Finding', '<*>', 'dependencies:', 'succeeded')","12"
"E259","('rsyncd', '<*>', '<*>', 'starting')","12"
"E260","('Console:', 'colour', 'VGA+', '<*>')","12"
"E261","('md.c:', 'sizeof(mdp_super_t)', '=', '<*>')","12"
"E262","('loading', 'configuration', 'from', ""'/etc/named.conf'"")","12"
"E263","('<*>', 'Probing', '<*>', 'hardware')","12"
"E264","('<*>', 'chipset', '<*>', '<*>')","12"
"E265","('<*>', 'Detected', '<*>', 'ports')","12"
"E266","('<*>', 'swap', '<*>', 'succeeded')","12"
"E267","('<*>', 'hostname', '<*>', 'succeeded')","12"
"E268","('<*>', 'on', '<*>', '<*>')","12"
"E269","('<*>', 'IPv6', '<*>', 'found')","12"
"E270","('Loading', 'system', 'font:', '')","11"
"E271","('hub.c:', '<*>', '<*>', 'found')","12"
"E272","('hub.c:', '<*>', '<*>', 'detected')","12"
"E273","('parport0:', '<*>', '<*>', 'detected')","12"
"E274","('Checking', '<*>', '<*>', 'succeeded')","12"
"E275","('<*>', 'writeIntrThreshold', 'is', '<*>')","12"
"E276","('<*>', 'readIntrThreshold', 'is', '<*>')","12"
"E277","('Mounting', '<*>', '<*>', 'succeeded')","36"
"E278","('Enabling', '<*>', '<*>', 'succeeded')","12"
"E279","('Setting', '<*>', '<*>', 'succeeded')","12"
"E280","('Configuring', 'kernel', 'parameters:', 'succeeded')","12"
"E281","('Loading', 'default', 'keymap', 'succeeded')","12"
"E282","('Mounting', 'USB', 'filesystem:', 'succeeded')","12"
"E283","('ROOT', 'LOGIN', 'ON', 'tty1')","5"
"E284","('ROOT', 'LOGIN', 'ON', 'tty2')","1"
"E285","('gethostbyname', 'error', 'for', '<*>')","129"
"E286","('ttloop:', 'peer', 'died:', 'EOF')","502"
"E287","('Saving', 'random', 'seed:', 'succeeded')","7"
"E288","('Kernel', 'logging', '(proc)', 'stopped.')","7"
"E289","('Kernel', 'log', 'daemon', 'terminating.')","7"
"E290","('precision', '=', '<*>', 'usec')","8"
"E291","('check', 'pass;', 'user', 'unknown')","370"
"E292","('Uniform', 'CD-ROM', 'driver', 'unloaded')","1"
"E293","('Un-parsable', 'frequency', 'in', '/etc/ntp/drift')","1"
"E294","('Generating', 'ident', 'key:', 'succeeded')","1"
"E295","('bad', 'username', '[', ']')","1"
"E296","('<*>', 'hash', 'table', 'entries:', '<*>', '(order:', '<*>', '<*>', 'bytes)')","48"
"E297","('<*>', '<*>', 'I', 'cache:', '<*>', '<*>', 'D', 'cache:', '<*>')","12"
"E298","('<*>', 'BIOS', 'version', '<*>', 'Flags', '<*>', '(Driver', 'version', '<*>')","12"
"E299","('<*>', 'queued', 'sectors', 'max/low', '<*>', '<*>', 'slots', 'per', 'queue')","12"
"E300","('<*>', 'not', '<*>', 'native', 'mode:', 'will', 'probe', 'irqs', 'later')","12"
"E301","('<*>', 'new', 'USB', 'bus', 'registered,', 'assigned', 'bus', 'number', '<*>')","12"
"E302","('CPU:', 'After', 'vendor', 'init,', 'caps:', '<*>', '<*>', '<*>', '<*>')","12"
"E303","('PCI:', 'Using', 'IRQ', 'router', 'PIIX', '<*>', 'at', '<*>', '<*>')","12"
"E304","('PIIX4:', 'IDE', 'controller', 'on', 'PCI', 'bus', '<*>', 'dev', '<*>')","12"
"E305","('the', 'default', 'for', 'the', ""'auth-nxdomain'"", 'option', 'is', 'now', ""'no'"")","12"
"E306","('<*>', 'at', '<*>', '(irq', '=', '<*>', 'is', 'a', '<*>')","24"
"E307","('IP:', 'routing', 'cache', 'hash', 'table', 'of', '<*>', 'buckets,', '4Kbytes')","12"
"E308","('usb-uhci.c:', '$Revision:', '<*>', '$', 'time', '<*>', 'Apr', '<*>', '<*>')","12"
"E309","('ntpd', '<*>', 'Mon', 'Apr', '<*>', '<*>', 'EDT', '<*>', '<*>')","12"
"E310","('SMSC', 'Super-IO', 'detection,', 'now', 'testing', 'Ports', '<*>', '<*>', '...')","12"
"E311","('Inode', '<*>', 'i_blocks', 'is', '<*>', 'should', 'be', '<*>', 'FIXED.')","33"
"E312","('Bad', 'line', 'received', 'from', 'identity', 'server', 'at', '<*>', '<*>')","95"
"E313","('Squid', 'Parent:', 'child', 'process', '<*>', 'exited', 'with', 'status', '<*>')","7"
"E314","('hda:', 'irq', 'timeout:', 'status=', '<*>', '{', 'DriveReady', 'SeekComplete', '}')","3"
"E315","('end_request:', 'I/O', 'error,', 'dev', '<*>', '<*>', '(floppy),', 'sector', '<*>')","8"
"E316","('FAILED', 'LOGIN', '<*>', 'FROM', '(null)', 'FOR', '<*>', 'Authentication', 'failure')","13"
"E317","('ide:', 'Assuming', '<*>', 'system', 'bus', 'speed', 'for', 'PIO', 'modes;', 'override', 'with', 'idebus=', 'xx')","12"
"E318","('starting', 'automounter', 'version', '<*>', 'path', '=', '/misc,', 'maptype', '=', 'file,', 'mapname', '=', '/etc/auto.misc')","12"
"E319","('User', 'unknown', 'timed', 'out', 'after', '<*>', 'seconds', 'at', '<*>', '<*>', '<*>', '<*>', '<*>')","22"
"E320","('User', 'unknown', 'timed', 'out', 'after', '<*>', 'seconds', 'at', '<*>', 'Sep', '<*>', '<*>', '<*>')","20"
"E321","('User', 'unknown', 'timed', 'out', 'after', '<*>', 'seconds', 'at', '<*>', 'May', '<*>', '<*>', '<*>')","27"
"E322","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty1', 'ruser=', 'rhost=', '')","2"
"E323","('authentication', 'failure;', 'logname=', 'tguy', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ruser=', 'rhost=', 'user=', 'root')","1"
"E324","('Serial', 'driver', 'version', '<*>', '<*>', 'with', 'MANY_PORTS', 'MULTIPORT', 'SHARE_IRQ', 'SERIAL_PCI', 'ISAPNP', 'enabled')","12"
"E325","('Winbond', 'Super-IO', 'detection,', 'now', 'testing', 'ports', '<*>', '<*>', '<*>', '<*>', '<*>', '...')","12"
"E326","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', '<*>', 'rhost=', 'user=', '<*>')","272"
"E327","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', '<*>', '<*>', 'rhost=', '<*>')","368"
"E328","('new', 'user:', 'name=', 'test,', 'uid=', '<*>', 'gid=', '<*>', 'home=', '/home/test,', 'shell=', '/bin/bash')","1"
"E329","('new', 'user:', 'name=', 'guest,', 'uid=', '<*>', 'gid=', '<*>', 'home=', '/home/guest,', 'shell=', '/bin/bash')","1"
"E330","('eth0:', '3Com', 'PCI', '<*>', 'Tornado', 'at', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'IRQ', '<*>')","12"
"E331","('bind()', 'fd', '<*>', 'family', '<*>', 'port', '<*>', 'addr', '<*>', 'in_classd=', '<*>', 'flags=', '<*>', 'fails:', 'Address', 'already', 'in', 'use')","9"
"E332","('<*>', 'more', 'authentication', 'failures;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty1', 'ruser=', 'rhost=', 'user=', 'root')","1"
